호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
8,2822,산성,2484297,11755,336868,288529,370877,378880,389942,362653,356548
8,2823,남한산성입구,5864345,27951,787448,669321,905396,927395,946240,823288,805257
8,2824,단대오거리,4671141,22194,655188,559939,705806,713236,737184,645693,654095
8,2825,신흥,2146094,10069,304274,264560,310566,310136,326982,305919,323657
8,2826,수진,2325426,10938,332152,282447,340074,337544,356251,331267,345691
8,2827,모란(8),1856700,8788,262512,219003,276460,279111,290898,262704,266012
9,4126,언주,2134103,9942,321121,260766,305311,312469,308276,291600,334560
9,4127,선정릉,2003778,9342,287483,238817,288820,298682,299811,277253,312912
9,4128,삼성중앙,1376939,6420,200898,164486,198459,205198,204579,188419,214900
9,4129,봉은사,4223227,19484,576278,491407,600983,609758,654489,593663,696649
9,4130,종합운동장(9),1130839,5311,157285,134532,170318,165344,176249,157593,169518
9,4131,삼전,1338240,6218,178505,157974,194205,195134,204977,194656,212789
9,4132,석촌고분,1187349,5506,153298,138261,170690,176614,184567,173087,190832
9,4133,석촌(9),1539055,7113,186841,170337,214251,237017,247798,231163,251648
9,4134,송파나루,966700,4487,126242,112765,138597,146349,149438,138761,154548
9,4135,한성백제,555975,2592,71767,61579,75888,82032,96069,81802,86838
9,4136,올림픽공원(9),1710344,7836,200886,167697,238828,244474,283858,282596,292005
9,4137,둔촌오륜,256298,1190,29747,27600,38496,39962,40463,39044,40986
9,4138,중앙보훈병원,1677594,7742,216541,188426,231958,252082,263683,248612,276292
